ID,Titile,Text,Physics,Chemistry,Mathematics,Biology,Computer Science
1,Atoms,"Atoms are the building blocks of the universe. Whatever you see around you can be divided into smaller and smaller parts until you finally reach a part you cannot divide further. This building block is what we call an Atom. Inside an atom are protons, electrons and neutrons. Out of the three, electrons and protons fit the definition of an electric charge. The protons are positively charged, the electrons are negatively charged, and the neutrons are neutral. A majority of the mass of the atom is concentrated in a very tiny space in the centre called the nucleus and the electrons revolve around this heavy nucleus.",1,0,0,0,0
2,Electrochemitry,"Electrochemistry is the subdiscipline of Chemistry that deals with the study of the relationship between electrical energy and chemical changes. Chemical reactions that involve the input or generation of electric currents are called electrochemical reactions. Such reactions are broadly classified into two categories: Electricity can be produced when electrons move from one element to another in certain types of reactions (such as redox reactions). Typically, electrochemistry deals with the overall reactions when multiple redox reactions occur simultaneously, connected via some external electric current and a suitable electrolyte. In other words, electrochemistry is also concerned with chemical phenomena that involve charge separation (as seen commonly in liquids such as solutions). The dissociation of charge often involves charge transfer that occurs homogeneously or heterogeneously between different chemical species.",0,1,0,0,0
3,Introduction to computer Science,"Computing is part of everything we do. Computing drives innovation in engineering, business, entertainment, education, and the sciences—and it provides solutions to complex, challenging problems of all kinds.Computer science focuses on the development and testing of software and software systems. It involves working with mathematical models, data analysis and security, algorithms, and computational theory. Computer scientists define the computational principles that are the basis of all software.Principal areas of study and careers within computer science include artificial intelligence, computer systems and networks, security, database systems, human-computer interaction, vision and graphics, numerical analysis, programming languages, software engineering, bioinformatics, and theory of computing.

Information technology (IT) focuses on the development, implementation, support, and management of computers and information systems. IT involves working both with hardware (CPUs, RAM, hard disks) and software (operating systems, web browsers, mobile applications). IT professionals make sure that computers, networks, and systems work well for all users.",0,0,0,0,1
4,Conductors and insulators ,"In simple terms, an electrical conductor is defined as materials that allow electricity to flow through them easily. This property of conductors that allow them to conduct electricity is known as conductivity.
The flow of electrons in a conductor is known as the electric current. The force required to make that current flow through the conductor is known as voltage.
When a charge is transferred to such an element, it gets distributed across the entire surface of the object, which results in the movement of electrons in the object. The charges transferred to an electrical conductor    distribute until the force of repulsion between electrons in areas of excess electrons is decreased to the minimum value. When such an object is brought in contact with another conductor, the charge gets transferred from the first conductor to the other until the overall repulsion due to charge is minimized.Insulators are materials that hinder the free flow of electrons from one particle of the element to another. If we transfer some amount of charge to such an element at any point, the charge remains at the initial location and does not get distributed across the surface. The most common process of charging of such elements is charging by rubbing (for some elements, with the help of suitable materials).
Metals, humans, and earth are all conductors. This is the reason why we get electric shocks!",1,0,0,0,0
5,Eccentricity ,"The eccentricity in the conic section uniquely characterises the shape where it should possess a non-negative real number. In general, eccentricity means a measure of how much the deviation of the curve has occurred from the circularity of the given shape. We know that the section obtained after the intersection of a plane with the cone is called the conic section. We will get different kinds of conic sections depending on the position of the intersection of the plane with respect to the plane and the angle made by the vertical axis of the cone. In terms of fixed-point called focus and the fixed-line called the directrix in the plane, the term “eccentricity” is defined. In this article, we are going to discuss the eccentric meaning in geometry, and eccentricity formula and the eccentricity of different conic sections such as parabola, ellipse and hyperbola The eccentric meaning in geometry represents the distance from any point on the conic section to the focus divided by the perpendicular distance from that point to the nearest directrix. Generally, the eccentricity helps to determine the curvature of the shape. If the curvature decreases, the eccentricity increases. Similarly, if the curvature increases, the eccentricity decreases. We know that there are different conics such as a parabola, ellipse, hyperbola and circle. The eccentricity of the conic section is defined as the distance from any point to its focus, divided by the perpendicular distance from that point to its nearest directrix. The eccentricity value is constant for any conics. The letter used to represent eccentricity is “e”.",0,0,1,0,0
6,Introduction to Biology,"Biological data refers to a compound or information derived from living organisms and their products. A medicinal compound made from living organisms, such as a serum or a vaccine, could be characterized as biological data. Biological data is highly complex when compared with other forms of data. There are many forms of biological data, including text, sequence data, protein structure, genomic data and amino acids, and links among others. Biological data works closely with bioinformatics, which is a recent discipline focusing on addressing the need to analyze and interpret vast amounts of genomic data.

In the past few decades, leaps in genomic research have led to massive amounts of biological data. As a result, bioinformatics was created as the convergence of genomics, biotechnology, and information technology, while concentrating on biological data.

Biological data has also been difficult to define, as bioinformatics is a wide-encompassing field. Further, the question of what constitutes as being a living organism has been contentious, as ""alive"" represents a nebulous term that encompasses molecular evolution, biological modeling, biophysics, and systems biology. From the past decade onwards, bioinformatics and the analysis of biological data have been thriving as a result of leaps in technology required to manage and interpret data. It is currently a thriving field, as society has become more concentrated on the acquisition, transfer, and exploitation of bioinformatics and biological data.        ",0,0,0,1,0
7,Chemical equilibrium,"Chemical equilibrium refers to the state of a system in which the concentration of the reactant and the concentration of the products do not change with time, and the system does not display any further change in properties.When the rate of the forward reaction is equal to the rate of the reverse reaction, the state of chemical equilibrium is achieved by the system. When there is no further change in the concentrations of the reactants and the products due to the equal rates of the forward and reverse reactions, the system is said to be in a state of dynamic equilibrium.Change in Pressure
Change in pressure happens due to the change in the volume. If there is a change in pressure, it can affect the gaseous reaction as the total number of gaseous reactants and products are now different. According to Le Chatelier’s principle, in heterogeneous chemical equilibrium, the change of pressure in both liquids and solids can be ignored because the volume is independent of pressure.Change in Temperature
The effect of temperature on chemical equilibrium depends upon the sign of ?H of the reaction and follows Le-Chatelier’s Principle.

As temperature increases, the equilibrium constant of an exothermic reaction decreases.
In an endothermic reaction, the equilibrium constant increases with an increase in temperature.
Along with the equilibrium constant, the rate of reaction is also affected by the change in temperature. As per Le Chatelier’s principle, the equilibrium shifts towards the reactant side when the temperature increases in the case of exothermic reactions; for endothermic reactions, the equilibrium shifts towards the product side with an increase in temperature.
",0,1,0,0,0
8,OSI Model,"OSI stands for Open Systems Interconnection , where open stands to say non-proprietary. It is a 7-layer architecture with each layer having specific functionality to perform. All these 7 layers work collaboratively to transmit the data from one person to another across the globe. The OSI reference model was developed by ISO – ‘International Organization for Standardization ‘, in the year 1984.

The OSI model provides a theoretical foundation for understanding network communication . However, it is usually not directly implemented in its entirety in real-world networking hardware or software . Instead, specific protocols and technologies are often designed based on the principles outlined in the OSI model to facilitate efficient data transmission and networking operations.When we transfer information from one device to another, it travels through 7 layers of OSI model. First data travels down through 7 layers from the sender’s end and then climbs back 7 layers on the receiver’s end.

Data flows through the OSI model in a step-by-step process:

Application Layer: Applications create the data.
Presentation Layer: Data is formatted and encrypted.
Session Layer: Connections are established and managed.
Transport Layer: Data is broken into segments for reliable delivery.
Network Layer : Segments are packaged into packets and routed.
Data Link Layer: Packets are framed and sent to the next device.
Physical Layer: Frames are converted into bits and transmitted physically.",0,0,0,0,1
9,Linear Algebra,"Linear Algebra is the branch of mathematics that focuses on the study of vectors, vector spaces, and linear transformations. It deals with linear equations, linear functions, and their representations through matrices and determinants. It has a wide range of applications in Physics and Mathematics. It is the basic concept for machine learning and data science. We have explained the Linear Algebra and types of Linear Algebra.What is Linear Algebra?
Linear Algebra is a branch of Mathematics that deals with matrices, vectors, finite and infinite spaces. It is the study of vector spaces, linear equations, linear functions, and matrices.Linear Algebra Equations
The general linear equation is represented as u1x1 + u2x2+…..unxn= v
Where,

u’s – represents the coefficients
x’s – represents the unknowns
v – represents the constantBranches of Linear Algebra
Linear Algebra is divided into different branches based on the difficulty level of topics, which are,

Elementary Linear Algebra
Advanced Linear Algebra
Applied Linear Algebra.Elementary Linear Algebra
Elementary Linear algebra covers the topics of basic linear algebra such as Scalars and Vectors, Matrix and matrix operation, etc.

Linear Equations
Linear equations form the basis of linear algebra and are equations of the first order. These equations represent straight lines in geometry and are characterized by constants and variables without exponents or products of variables. Solving systems of linear equations involves finding the values of the variables that satisfy all equations simultaneously.Advanced Linear Algebra
Advanced linear algebra mostly covers all the advanced topics related to linear algebra such as Linear function, Linear transformation, Eigenvectors, and Eigenvalues, etc.

Eigenvalues and Eigenvectors
Eigenvalues and eigenvectors are fundamental concepts in linear algebra. It offers deep insights into the properties of linear transformations. An eigenvector of a square matrix is a non-zero vector that, when the matrix multiplies it, results in a scalar multiple of itself. This scalar is known as the eigenvalue associated with the eigenvector. They are essential in various applications, including stability analysis, quantum mechanics, and the study of dynamical systems.

Consider a transformation that changes the direction or length of vectors, except for some special vectors that only get stretched or shrunk. These special vectors are eigenvectors, and the factor by which they are stretched or shrunk is the eigenvalue.Singular Value Decomposition
Singular Value Decomposition (SVD) is a powerful mathematical technique used in signal processing, statistics, and machine learning. It decomposes a matrix into three other matrices, where one represents the rotation, another the scaling, and the third the final rotation. It’s essential for identifying the intrinsic geometric structure of data.

Vector Space in Linear Algebra
A vector space (or linear space) is a collection of vectors, which may be added together and multiplied (“scaled”) by numbers, called scalars. Scalars are often real numbers, but can also be complex numbers. Vector spaces are central to the study of linear algebra and are used in various scientific fields.

Basic vectors in Linear Algebra
Linear Map
A linear map (or linear transformation) is a mapping between two vector spaces that preserves the operations of vector addition and scalar multiplication. The concept is central to linear algebra and has significant implications in geometry and abstract algebra.

A linear map is a way of moving vectors around in a space that keeps the grid lines parallel and evenly spaced.Matrix Exponential
The matrix exponential is a function on square matrices analogous to the exponential function for real numbers. It is used in solving systems of linear differential equations, among other applications in physics and engineering.

Matrix exponentials stretch or compress spaces in ways that depend smoothly on time, much like how interest grows continuously in a bank account.Linear Computations
Linear computations involve numerical methods for solving linear algebra problems, including systems of linear equations, eigenvalues, and eigenvectors calculations. These computations are essential in computer simulations, optimisations, and modelling.

These are techniques for crunching numbers in linear algebra problems, like finding the best-fit line through a set of points or solving systems of equations quickly and accurately.

Linear Independence
A set of vectors is linearly independent if no vector in the set is a linear combination of the others. The concept of linear independence is central to the study of vector spaces, as it helps define bases and dimension.

Vectors are linearly independent if none of them can be made by combining the others. It’s like saying each vector brings something unique to the table that the others don’t.Linear Subspace
A linear subspace (or simply subspace) is a subset of a vector space that is closed under vector addition and scalar multiplication. A subspace is a smaller space that lies within a larger vector space, following the same rules of vector addition and scalar multiplication.

Example: The set of all vectors of the form a, 0 in 2D space is a subspace, representing all points along the x-axis.


Applied Linear Algebra 
In Applied Linear Algebra, the topics covered are generally the practical implications of Elementary and advanced linear Algebra topics such as the Complement of a matrix, matrix factorization and norm of vectors, etc.

Linear Programming
Linear programming is a method to achieve the best outcome in a mathematical model whose requirements are represented by linear relationships. It is widely used in business and economics to maximize profit or minimize cost while considering constraints.

This is a technique for optimizing (maximizing or minimizing) a linear objective function, subject to linear equality and inequality constraints. It’s like planning the best outcome under given restrictions.Linear Equation Systems
Systems of linear equations involve multiple linear equations that share the same set of variables. The solution to these systems is the set of values that satisfy all equations simultaneously, which can be found using various methods, including substitution, elimination, and matrix operations.Gaussian Elimination
Gaussian elimination is a systematic method for solving systems of linear equations. It involves applying a series of operations to transform the system’s matrix into its row echelon form or reduced row echelon form, making it easier to solve for the variables. It is a step-by-step procedure to simplify a system of linear equations into a form that’s easier to solve.Vectors in Linear Algebra
In linear algebra, vectors are fundamental mathematical objects that represent quantities that have both magnitude and direction.

Vectors operations like addition and scalar multiplication are mainly used concepts in linear algebra. They can be used to solve systems of linear equations and represent linear transformation, and perform matrix operations such as multiplication and inverse matrices.
The representation of many physical processes’ magnitude and direction using vectors, a fundamental component of linear algebra, is essential.
In linear algebra, vectors are elements of a vector space that can be scaled and added. Essentially, they are arrows with a length and direction.
Linear Function
A formal definition of a linear function is provided below:


f(ax) = af(x), and f(x + y) = f(x) + f(y)
Linear Algebra Matrix
A linear matrix in algebra is a rectangular array of integers organized in rows and columns in linear algebra. The letters a, b, c, and other similar letters are commonly used to represent the integers that make up a matrix’s entries.
Matrices are often used to represent linear transformation, such as scaling, rotation, and reflection.
Its size is determined by the rows and columns that are present.
A matrix has three rows and two columns, for instance. A matrix is referred to as be 3×2 matrix, for instance, if it contains three rows and two columns.
Matrix basically works on operations including addition, subtraction, and multiplication.
The appropriate elements are simply added or removed when matrices are added or subtracted.
Scalar multiplication involves multiplying every entry in the matrix by a scalar(a number).
Matrix multiplication is a more complex operation that involves multiplying and adding certain entries in the matrices.
The number of columns and rows in the matrix determines its size. For instance, a matrix with 4 rows and 2 columns is known as a 4×2 matrix. The entries in the matrix are integers, and they are frequently represented by letters like u, v, and w.Numerical Linear Algebra
Numerical linear algebra, also called applied linear algebra, explores how matrix operations can solve real-world problems using computers. It focuses on creating efficient algorithms for continuous mathematics tasks. These algorithms are vital for solving problems like least-square optimization, finding Eigenvalues, and solving systems of linear equations. In numerical linear algebra, various matrix decomposition methods such as Eigen decomposition, Single value decomposition, and QR factorization are utilized to tackle these challenges.Linear Algebra Applications
Linear algebra is ubiquitous in science and engineering, providing the tools for modelling natural phenomena, optimising processes, and solving complex calculations in computer science, physics, economics, and beyond.

Linear algebra, with its concepts of vectors, matrices, and linear transformations, serves as a foundational tool in numerous fields, enabling the solving of complex problems across science, engineering, computer science, economics, and more. Following are some specific applications of linear algebra in real-world.

1. Computer Graphics and Animation
Linear algebra is indispensable in computer graphics, gaming, and animation. It helps in transforming the shapes of objects and their positions in scenes through rotations, translations, scaling, and more. For instance, when animating a character, linear transformations are used to rotate limbs, scale objects, or shift positions within the virtual world.

2. Machine Learning and Data Science
In machine learning, linear algebra is at the heart of algorithms used for classifying information, making predictions, and understanding the structures within data. It’s crucial for operations in high-dimensional data spaces, optimizing algorithms, and even in the training of neural networks where matrix and tensor operations define the efficiency and effectiveness of learning.

3. Quantum Mechanics
The state of quantum systems is described using vectors in a complex vector space. Linear algebra enables the manipulation and prediction of these states through operations such as unitary transformations (evolution of quantum states) and eigenvalue problems (energy levels of quantum systems).

4. Cryptography
Linear algebraic concepts are used in cryptography for encoding messages and ensuring secure communication. Public key cryptosystems, such as RSA, rely on operations that are easy to perform but extremely difficult to reverse without the key, many of which involve linear algebraic computations.

5. Control Systems
In engineering, linear algebra is used to model and design control systems. The behavior of systems, from simple home heating systems to complex flight control mechanisms, can be modeled using matrices that describe the relationships between inputs, outputs, and the system’s state.

6. Network Analysis
Linear algebra is used to analyze and optimize networks, including internet traffic, social networks, and logistical networks. Google’s PageRank algorithm, which ranks web pages based on their links to and from other sites, is a famous example that uses the eigenvectors of a large matrix representing the web.

7. Image and Signal Processing
Techniques from linear algebra are used to compress, enhance, and reconstruct images and signals. Singular value decomposition (SVD), for example, is a method to compress images by identifying and eliminating redundant information, significantly reducing the size of image files without substantially reducing quality.

8. Economics and Finance
Linear algebra models economic phenomena, optimizes financial portfolios, and evaluates risk. Matrices are used to represent and solve systems of linear equations that model supply and demand, investment portfolios, and market equilibrium.

9. Structural Engineering
In structural engineering, linear algebra is used to model structures, analyze their stability, and simulate how forces and loads are distributed throughout a structure. This helps engineers design buildings, bridges, and other structures that can withstand various stresses and strains.

10. Robotics
Robots are designed using linear algebra to control their movements and perform tasks with precision. Kinematics, which involves the movement of parts in space, relies on linear transformations to calculate the positions, rotations, and scaling of robot parts.",0,0,1,0,0
10,Human Brain,"The human brain controls nearly every aspect of the human body ranging from physiological functions to cognitive abilities. It functions by receiving and sending signals via neurons to different parts of the body. The human brain, just like most other mammals, has the same basic structure, but it is better developed than any other mammalian brain. On average, an adult brain weighs between 1.0 kg – 1.5 kg.  It is mainly composed of neurons – the fundamental unit of the brain and nervous system. Recent estimates have suggested that the brain contains anywhere between 86 billion to 100 billion neurons.The brain is enclosed within the skull, which provides frontal, lateral and dorsal protection. The skull consists of 22 bones, 14 of which form the facial bones and the remaining 8 form the cranial bones. Anatomically, the brain is contained within the cranium and is surrounded by the cerebrospinal fluid.

The Cerebrospinal Fluid (CSF) is a fluid that circulates within the skull and spinal cord, filling up hollow spaces on the surface of the brain. Every day, the specialised ependymal cells produce around 500mL of cerebrospinal fluid.

The primary function of the CSF is to act as a buffer for the brain, cushioning mechanical shocks and dampening minor jolts. It also provides basic immunological protection to the brain.

Furthermore, CSF provides buoyancy for the brain. i.e., the brain is suspended in a layer of CSF, wherein, the weight of the brain is nearly negated. If the brain is not suspended in CSF, it would be impeded by its weight, consequently cutting off the blood supply in the lower half of the brain. It would lead to the death of neurons in the affected area.
The brain, along with the spinal cord, constitutes the central nervous system. It is responsible for thoughts, interpretation and origin of control for body movements.",0,0,0,1,0
